"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000001844",16.9,21.91,23.04,24.92,20.48,25.74,15.37,14.85
"ENSMUSG00000001847",133.33,113.33,115.23,105.76,67.86,120.58,136.68,128.21
"ENSMUSG00000001855",5.02,6.17,6.23,6.4,6.74,6.57,8.37,6.82
"ENSMUSG00000001864",4.49,3.43,4.18,3.57,2.37,2.8,2.99,2.56
"ENSMUSG00000001865",0.05,0.05,0.14,0.28,0.21,0.05,0,0.1
"ENSMUSG00000001870",4.93,9.62,4.19,6.21,6.63,5.39,5.31,7.41
"ENSMUSG00000001891",42.28,37.83,26.99,34.81,28.47,32.98,36.82,28.79
"ENSMUSG00000001901",0.62,0.59,0.49,0.79,0.81,0.62,0.38,0.9
"ENSMUSG00000001909",19.58,23.45,20.33,25.09,21.68,22.49,25.77,20.71
"ENSMUSG00000001910",6.58,9.17,8.52,6.63,7.17,6.15,5.93,6.56
"ENSMUSG00000001911",24.2,24.91,14.93,37.51,59.25,43.89,67.04,49.32
"ENSMUSG00000001918",2.11,1.98,1.85,1.79,1.14,0.48,0.83,1.09
"ENSMUSG00000001924",89.69,87.48,92.72,98.01,95.48,125.67,104.02,101.04
"ENSMUSG00000001930",1.2,0.83,3.78,1.11,0.15,1.11,0.12,0.35
"ENSMUSG00000001942",8.84,9.79,14.51,8.76,5.86,7.26,5.04,6.41
"ENSMUSG00000001943",0.33,0.59,0.95,0.52,0.06,0.17,0.58,0
"ENSMUSG00000001946",7.17,9.49,10.2,9.91,7.75,6.95,4.16,6.45
"ENSMUSG00000001948",4.06,2.54,3.82,3.7,4.16,3.62,2.37,4.31
"ENSMUSG00000001962",13.01,11.14,10.23,16.74,12.57,15.21,13.23,12.95
"ENSMUSG00000001964",15.03,12.82,16.31,15.54,12.67,12.35,15.27,14.41
"ENSMUSG00000001983",3.99,2.71,2.82,4.52,2.96,3.8,3.27,3.74
"ENSMUSG00000001985",3.48,3.31,3.66,4.66,5.1,5.05,5.21,5.07
"ENSMUSG00000001986",59.68,63.65,42.97,74.83,85.9,98.54,105.79,74
"ENSMUSG00000001988",3.5,2.48,1.48,2.87,4.21,5.17,5.99,4.81
"ENSMUSG00000001995",2.7,3.01,2.04,2.12,2.12,2.76,2.47,3.26
"ENSMUSG00000001998",1.53,2.15,1.76,2.24,1.85,1.62,1.83,1.32
"ENSMUSG00000001999",21.12,16.81,19.32,18.75,17.89,19.86,18.19,18.51
"ENSMUSG00000002006",1.68,1.26,1.7,1.8,1.36,0.87,1.89,1.39
"ENSMUSG00000002007",0.93,0.95,0.66,1.48,0.73,0.86,0.87,1.24
"ENSMUSG00000002010",207.99,176.97,205.36,167.79,153.98,161.72,166.74,189.58
"ENSMUSG00000002012",49.36,38.03,94.54,75.44,75.99,81.63,114.82,100.56
"ENSMUSG00000002014",84.61,68.52,59.33,59,62.59,57.72,71.88,58.86
"ENSMUSG00000002015",89.39,65.44,63.94,74.68,82.56,89.87,75.4,71.48
"ENSMUSG00000002017",8.7,8.9,8.61,10.76,10.29,11.36,10.4,11.27
"ENSMUSG00000002020",0,0.02,0.16,0.1,0,0.02,0.19,0.01
"ENSMUSG00000002028",2.68,4.34,5.15,4.93,5.07,3.91,4.19,3.37
"ENSMUSG00000002031",30.85,34.73,29.63,28.48,31.16,37.02,32.36,30.65
"ENSMUSG00000002032",40.47,41.64,27.37,36.66,33.1,32.78,31.56,31.83
"ENSMUSG00000002033",0,0,0,0.08,0,0,0,0
"ENSMUSG00000002043",23.1,14.41,14.27,12.77,20.85,11.77,16.36,17.59
"ENSMUSG00000002052",16.56,22.03,23.4,21.99,23.25,25.04,22.43,21.07
"ENSMUSG00000002055",1.49,0.95,0.3,1.53,1.45,1.47,1.16,0.5
"ENSMUSG00000002057",0,0,0.02,0,0,0,0,0
"ENSMUSG00000002058",4.83,2.86,2.31,1.83,4.67,3.01,4.75,3.07
"ENSMUSG00000002059",17.3,17.09,19.5,16.02,9.36,11.68,11.4,10.24
"ENSMUSG00000002064",58.5,53.1,53.52,53.04,59.41,63.04,62.23,56.31
"ENSMUSG00000002068",15.3,16.8,7.04,15.27,16.58,16.81,20.49,14.16
"ENSMUSG00000002076",1.05,0.54,0.28,0.53,0.85,0.21,0.29,0.24
"ENSMUSG00000002083",2.53,1.84,0.87,0.31,0.8,0.65,1.38,0.58
"ENSMUSG00000002100",0.02,0.17,0.21,0.08,0.04,0,0,0.08
"ENSMUSG00000002102",146.56,136.23,113.04,110.76,163.26,170.28,143.06,168.07
"ENSMUSG00000002103",24.79,21.62,24.35,21.21,22.72,20.38,22.2,21.93
"ENSMUSG00000002104",1,0.81,1.78,0.5,0.11,0.36,0.25,0.43
"ENSMUSG00000002105",6.65,9.23,7.79,7.64,4.97,8.53,7.85,7.42
"ENSMUSG00000002107",59,86.61,70.06,104.28,85.1,92.1,100.76,76.32
"ENSMUSG00000002108",2.04,1.94,2.11,1.64,1.37,1.52,1.36,0.96
"ENSMUSG00000002109",4.59,5.49,5.01,5.66,3.7,3.84,5.09,4.12
"ENSMUSG00000002111",5.11,4.28,5.23,4.53,5.4,4.08,4.94,5.08
"ENSMUSG00000002129",13.63,15.56,18.68,18.64,14.63,17.78,17.63,15.82
"ENSMUSG00000002147",4.12,3.16,3.82,4.35,3.76,2.81,3.12,2.35
"ENSMUSG00000002190",2.53,2.69,1.68,2.62,3.21,3.32,2.75,2.31
"ENSMUSG00000002204",0.37,0.27,0.26,0.05,0.07,0.09,0,0.18
"ENSMUSG00000002205",23.6,18.57,25.99,21.78,20.88,25.03,22.14,20.27
"ENSMUSG00000002210",13.35,15.08,17.55,15.87,16.04,15.79,18.63,16.1
"ENSMUSG00000002221",5.39,5.79,5.42,4.15,4.04,6.12,5.65,6.09
"ENSMUSG00000002222",5.15,4.84,8.44,7.38,6.42,4.47,4.57,5.2
"ENSMUSG00000002227",0.89,1.24,1.56,1.48,1.77,1.39,1.03,0.93
"ENSMUSG00000002228",0.11,0.69,0.48,0.24,0,0.95,0.04,4.27
"ENSMUSG00000002233",19.83,16.43,17.63,11.84,10.79,13.37,11.1,11.75
"ENSMUSG00000002240",0,0,0,0,0,0,0,0
"ENSMUSG00000002249",0.36,1.06,0.5,0.52,0.4,0.32,0.52,0.29
"ENSMUSG00000002250",1.19,0.88,0.52,0.85,1.07,0.88,0.78,0.58
"ENSMUSG00000002257",1.04,0.74,0.93,1.2,1.03,0.56,0.6,0.66
"ENSMUSG00000002265",37.21,43.69,68.81,52.28,48.48,54.97,43.94,47.37
"ENSMUSG00000002266",0.07,0.09,0.34,0.3,0.06,0.18,0.38,0.13
"ENSMUSG00000002274",39.37,33.52,37.55,24.55,14.31,21.64,19.57,21.01
"ENSMUSG00000002279",13.85,14.64,17.22,13.75,15.05,13.97,13.52,14.09
"ENSMUSG00000002280",19.83,24.28,23.85,19.21,16.1,20.81,18.85,19.7
"ENSMUSG00000002289",2.98,2.47,2.73,1.57,2.14,1.76,1.72,2.03
"ENSMUSG00000002297",0.33,0.39,0.48,0.62,0.17,0.4,0.33,0.47
"ENSMUSG00000002307",10.59,11.88,14.17,13.46,15.17,14.26,14.9,15.96
"ENSMUSG00000002308",22.36,21.34,22.96,18.05,18.08,19.02,15.2,18.64
"ENSMUSG00000002319",28.23,31.08,34.32,32.69,34.3,34.5,34.79,37.18
"ENSMUSG00000002320",20.12,22.69,19.89,19.73,20.42,23.07,19.56,18.38
"ENSMUSG00000002324",1.86,1.05,5.29,2.75,1.04,0.54,0.79,2.47
"ENSMUSG00000002325",3.54,4.37,3.11,2.06,3.28,2.1,2.26,1.97
"ENSMUSG00000002326",20.3,14.45,17.85,13.31,15.51,21.24,15.2,14.32
"ENSMUSG00000002329",31.65,27.68,27.28,28.3,31.26,36.54,28.65,27.52
"ENSMUSG00000002332",66.12,64.02,52.13,61.53,65.51,67.55,59.17,56.16
"ENSMUSG00000002341",52.74,66.57,61.26,54.08,60.56,48.8,52.63,61.55
"ENSMUSG00000002342",19.75,21.89,28.02,19.24,18.77,15.9,24.58,20.7
"ENSMUSG00000002343",21.77,21.51,19.95,18.91,23.83,21.52,25.33,20.26
"ENSMUSG00000002345",36.67,24.88,28.71,23.69,31.05,25.47,31.76,29.27
"ENSMUSG00000002346",9.25,11.1,17.97,11.38,10.7,11.15,9.31,11.16
"ENSMUSG00000002365",1.52,1.52,1.89,1.1,1.13,2.36,1.08,1.49
"ENSMUSG00000002372",38.35,41.65,44.79,39.41,41.64,39.76,40.46,49.05
"ENSMUSG00000002379",479.96,325.13,315.46,297.47,425.66,300.71,403.12,399.56
"ENSMUSG00000002384",0.07,0.07,0,0,0.02,0.03,0,0.05
"ENSMUSG00000002393",3.27,2.21,3.11,1.71,1.98,1.27,2.79,2.33
"ENSMUSG00000002395",75.99,68.63,61.42,67.53,69.15,62.39,66.2,67.81
"ENSMUSG00000002396",4.22,5.47,4.88,4.7,4.74,3.46,6.41,4.39
"ENSMUSG00000002409",5.38,7.35,8.33,6.06,5.31,4.91,7.02,4.19
"ENSMUSG00000002413",7.04,8.68,9.93,9.44,10.09,7.53,9.38,8.55
"ENSMUSG00000002416",311.91,180.66,181.39,142.2,270.74,164.35,241.13,238.94
"ENSMUSG00000002428",3.84,3.31,5.06,4.31,5.27,4.33,4.6,5.47
"ENSMUSG00000002455",24.92,22.39,24.74,26.72,23.84,28.76,31.42,23.36
"ENSMUSG00000002458",22.13,26.93,18.76,21.69,34.11,25.04,32.51,31.61
"ENSMUSG00000002459",22.73,26,31.8,23.81,13.14,13.58,12.58,11.61
"ENSMUSG00000002475",65.33,69.45,41.96,51.66,39.42,46.34,32.76,46.6
"ENSMUSG00000002477",66.03,45,53.26,62.35,61.09,66.48,58.62,59.57
"ENSMUSG00000002486",1.78,2.58,2.51,2.45,3.05,2.57,2.76,2.14
"ENSMUSG00000002489",9.68,13.15,11.85,11.82,11.48,11.69,9.53,13.02
"ENSMUSG00000002496",17.8,25.23,24.6,25.74,20.75,24.35,28.28,20.6
"ENSMUSG00000002500",0.65,0.5,0.66,0.61,0.08,0.16,0.21,0.49
"ENSMUSG00000002504",25.88,27.23,32.64,24.4,27.91,25.85,29.17,44.46
"ENSMUSG00000002524",127.27,120.17,137.41,114.14,129.34,124.86,142.23,141.32
"ENSMUSG00000002546",14.76,14.48,19.64,19.27,17.38,18.09,16.41,14.08
"ENSMUSG00000002550",27.82,30.49,36.51,29.91,33.91,28.58,36.13,39.23
"ENSMUSG00000002565",0,0.03,0.03,0,0.12,0,0.08,0.05
"ENSMUSG00000002578",4.27,4.86,8.19,5.84,6.28,4.23,7.04,4.8
"ENSMUSG00000002580",154.57,112.73,99.32,101.76,162.63,129.99,136.69,134.91
"ENSMUSG00000002588",0,0,0,0,0.34,0.34,0.38,0
"ENSMUSG00000002602",17.29,22.63,20.24,17.51,10.74,13.65,13.01,16.3
"ENSMUSG00000002603",0.24,0.03,0.14,0.29,0.07,0.31,0.1,0.1
"ENSMUSG00000002608",19.7,21.64,27.29,19.54,21.55,21.65,24.53,23.88
"ENSMUSG00000002617",5.3,7.5,6.25,9.48,5.93,7.07,6.8,5.53
"ENSMUSG00000002625",52.24,66.83,66.02,75.34,62.92,67.86,69.3,55.29
"ENSMUSG00000002633",0.58,1.1,0.31,0.4,0.38,0.29,0.73,0.34
"ENSMUSG00000002635",20.99,19.89,18.2,17.14,24.24,20.66,22.88,24.96
"ENSMUSG00000002658",39.93,39.54,37.32,44.22,49.57,53.62,44.26,48.06
"ENSMUSG00000002660",109.11,96.19,108.07,78.65,86.06,77.38,85.18,105.44
"ENSMUSG00000002661",32.65,23.34,41.51,23.78,28.78,26.65,27.52,29.2
"ENSMUSG00000002664",0,0,0.14,0,0,0,0,0
"ENSMUSG00000002668",0.25,0.95,0.64,0.61,0.18,0.32,0.28,0.24
"ENSMUSG00000002679",18.57,17.22,19.94,15.14,15.91,14.96,20.72,20.81
"ENSMUSG00000002688",2.23,2.45,2.21,1.62,0.5,1.4,2.14,1.59
"ENSMUSG00000002699",1.43,2.45,1.78,2,2.28,2.01,2.18,1.34
"ENSMUSG00000002718",19.51,17.53,19.36,18.42,18.52,24.42,19.54,21.53
"ENSMUSG00000002728",83.16,75.76,70.48,71.49,71.75,67.01,75.26,85.73
"ENSMUSG00000002731",11.27,9.85,6.81,10.67,9.97,9.77,8.85,10.01
"ENSMUSG00000002732",6.92,3.53,2.8,2.46,2.67,1.85,2.88,1.04
"ENSMUSG00000002733",1.81,2.38,1.91,1.51,2.04,1.64,1.81,1.93
"ENSMUSG00000002741",48.21,42.43,38.5,43.5,42.78,50.37,42.16,39.85
"ENSMUSG00000002748",9.4,10.92,11.62,13.11,13.09,13.17,12.26,12.09
"ENSMUSG00000002763",4.27,4.06,5.29,4.09,4.25,3.93,4.37,5.66
"ENSMUSG00000002767",54.44,42.41,50.39,36.82,44.94,38.99,43.23,51.15
"ENSMUSG00000002768",130.64,111.66,94.31,118.16,142.35,123.09,136.55,134.94
"ENSMUSG00000002769",0.19,0.13,0.26,0.24,0,0.43,0.07,0.61
"ENSMUSG00000002771",0.54,0.48,0.41,0.43,0.32,0.25,0.33,0.26
"ENSMUSG00000002778",36.2,43.24,32.5,31.08,27.13,37.15,30.32,28.05
"ENSMUSG00000002781",7.76,7.09,7.1,6.53,6.68,3.46,5.61,5.06
"ENSMUSG00000002797",14.7,10.54,10.6,12.9,9.77,16.33,9.91,11.66
"ENSMUSG00000002799",2.37,2.28,3.51,2.18,2.09,2.49,3.79,2.12
"ENSMUSG00000002803",29.45,27.46,35.05,31.53,25.37,29.13,28.63,29.84
"ENSMUSG00000002804",13.75,8.23,9.37,10.12,11.67,10.04,8.6,10.84
"ENSMUSG00000002808",78.84,73.92,72.65,58.7,58.05,50.25,53.02,53.36
"ENSMUSG00000002812",11.87,13.53,16.14,14.7,11.69,13.59,11.17,13.85
"ENSMUSG00000002814",1.41,2.86,1.98,2.81,2.26,1.93,1.5,1.51
"ENSMUSG00000002820",6.59,7.35,7.2,7.24,7.87,4.96,6.46,7.38
"ENSMUSG00000002825",10.88,11.34,12.39,9.76,12.22,11.19,11.35,12.52
"ENSMUSG00000002831",0.58,1.15,1.32,0.79,0.74,1.33,0.78,0.65
"ENSMUSG00000002833",27.48,34.64,39.28,35.91,36.3,40.17,36.72,33.04
"ENSMUSG00000002835",1.12,1.76,1.68,1.74,0.81,1.29,1.62,1.63
"ENSMUSG00000002844",45.06,44.39,41.41,43.04,51.18,48.18,51.33,45.63
"ENSMUSG00000002845",4.07,4.74,6.28,3.95,4.62,5.29,5.73,4.62
"ENSMUSG00000002846",12.73,9.71,9.25,9.19,15.53,8.1,10.04,12.32
"ENSMUSG00000002847",0.53,1.44,1.14,0.86,0.34,0.71,0.33,0.46
"ENSMUSG00000002870",1.46,2,1.56,2.87,1.69,1.45,2.47,1.66
"ENSMUSG00000002871",24.57,23.64,30.96,22.79,23.69,21.01,21.9,22.61
"ENSMUSG00000002881",3.74,4.07,2.93,3.35,4.87,3.85,3.76,5.13
"ENSMUSG00000002885",1.95,1.67,3.13,1.65,1.42,2.29,1.18,1.17
"ENSMUSG00000002897",2.44,2.57,1.77,2.77,3.51,3.19,2.46,2
"ENSMUSG00000002900",2.21,2.81,7.36,2.77,2.7,2.88,2.04,2.27
"ENSMUSG00000002908",8.5,7.49,4.9,5.65,8.15,6.92,8.85,6.3
"ENSMUSG00000002910",5.35,6.57,4.09,4.33,2.61,4.12,3.84,3.47
"ENSMUSG00000002930",0.04,0.16,0.08,0.09,0.03,0.3,0.29,1.59
"ENSMUSG00000002944",0.62,0.07,0.41,0.26,0.08,0.26,0.08,0.19
"ENSMUSG00000002948",24.64,30.41,37.89,35.96,25.84,33.77,30.7,27.14
"ENSMUSG00000002949",21.57,20.56,21.41,20.42,24.43,19.28,22.21,22.23
"ENSMUSG00000002957",64.25,59.71,57.76,64.52,88.8,82.17,83.29,88.56
"ENSMUSG00000002963",15.2,14.69,11.85,13.81,16.24,17.42,14.95,17.21
"ENSMUSG00000002968",35.7,43.69,48.64,45.81,38.99,43.13,51.34,50.98
"ENSMUSG00000002980",5.98,5.86,10.29,5.12,5.03,4.63,4.19,2.91
"ENSMUSG00000002981",69.97,66.27,89.79,56.28,46.4,56.32,63.77,67.66
"ENSMUSG00000002983",2.71,3.94,4.25,4.19,3.26,3.98,4.73,3.56
"ENSMUSG00000002984",69.71,60.7,78.04,55.15,85.98,62.12,86.05,87.05
"ENSMUSG00000002985",4810.47,4558.76,4054.44,3360.62,2827.62,3163.91,2956.71,3576.48
"ENSMUSG00000002992",0,0.12,0,0,0,0,0,0
"ENSMUSG00000002996",17.68,17.45,18.79,20.74,14.22,17.49,11.89,19.81
"ENSMUSG00000002997",17.47,9.19,24.16,9.85,5.89,7.53,8.07,7.04
"ENSMUSG00000003031",3.68,3.23,3.52,4.64,4.51,3.27,3.95,3.63
"ENSMUSG00000003032",0.57,0.25,0.43,0.27,0.27,0.32,0.09,0.21
"ENSMUSG00000003033",43.71,42.73,52.35,44.62,44.01,48.65,51.61,49.73
"ENSMUSG00000003037",14.03,12.86,13.54,13.76,14.74,15.45,14.7,16.19
"ENSMUSG00000003038",106.92,74.48,117.53,154.93,133.76,109.98,133.5,128.02
"ENSMUSG00000003039",44.27,48.32,49.45,51.76,53.17,51.94,52.67,55.21
"ENSMUSG00000003051",0.45,0.07,0.59,0.04,0,0.08,0,0
"ENSMUSG00000003053",0,0,0,0,0.03,0,0,0
"ENSMUSG00000003062",53.49,50.35,41.77,48.53,50.96,55.66,48.79,49.41
"ENSMUSG00000003068",26.69,24.53,25.96,16.97,7.53,20.87,16.56,22.38
"ENSMUSG00000003070",2.8,2.38,2.69,3.2,3.64,3.65,3.7,2.89
"ENSMUSG00000003072",351.76,310.73,314.36,260.16,368.19,312.81,374.16,348.93
"ENSMUSG00000003099",72.54,76.77,64.85,68.28,78.56,78.32,87.13,83.41
"ENSMUSG00000003119",2.7,4.16,2.77,3.6,2.31,3.1,2.44,2.92
"ENSMUSG00000003123",3.99,4.53,8.42,4.45,4.7,4.58,3.68,3.1
"ENSMUSG00000003131",82.1,72.38,76.58,84.55,92.2,104.82,81.96,84.98
"ENSMUSG00000003134",5.85,5.51,25.82,8.59,6.05,6.78,7.07,4.59
"ENSMUSG00000003135",3.22,1.63,1.25,2.41,2.05,1.74,2.48,1.93
"ENSMUSG00000003153",35.87,38.92,52.96,38.54,44.67,56.64,47.74,52.27
"ENSMUSG00000003154",2.93,3.16,3.91,2.55,2.62,2.31,2.49,3.13
"ENSMUSG00000003161",36.85,33.82,24,29.83,38.55,33.77,36.91,36.24
"ENSMUSG00000003166",26.47,29.41,40.07,29.52,30.88,29.22,32.07,33.75
"ENSMUSG00000003184",12.43,12.24,13.02,7.1,9.58,10.88,10.9,12.2
"ENSMUSG00000003190",2.29,1.94,0.7,1.94,1.92,1.24,0.92,2.15
"ENSMUSG00000003198",3.47,1.86,7.69,3.98,3.29,2.84,3.1,4.33
"ENSMUSG00000003199",14.28,14.23,10.98,11.13,12.04,9.45,9.56,8.6
"ENSMUSG00000003200",24.84,28.28,28.04,23.98,28.53,24.44,31.39,31.31
"ENSMUSG00000003206",1.37,1.74,0.83,1.55,1.26,1.48,1.24,1.09
"ENSMUSG00000003208",8.23,6.8,9.36,6.23,8.14,6.11,7.18,6.13
"ENSMUSG00000003226",7.79,10.12,9.63,10.94,7.79,11.15,9.07,8.8
"ENSMUSG00000003227",0.29,0.11,0.11,0.27,0,0.12,0.24,0.06
"ENSMUSG00000003228",1,1.14,1.6,1.37,1.27,1.81,1.26,1.15
"ENSMUSG00000003233",5.25,5.73,5.95,6.3,5.44,6.49,5.69,5.71
"ENSMUSG00000003234",28.14,31.94,32.87,28.49,31.07,35.85,28.67,32.79
"ENSMUSG00000003235",28.7,24.52,24.85,17.43,12.2,33.29,21.66,25.36
"ENSMUSG00000003269",123.79,111.25,86.55,117.99,147.25,139.5,164.65,176.23
"ENSMUSG00000003271",13.65,11.37,7.38,11.3,15.44,14.82,10.86,16.6
"ENSMUSG00000003273",81.08,79.71,149.87,82.54,76.84,60.1,69.99,61.46
"ENSMUSG00000003279",104.17,122.59,47.14,118.77,142.57,155,159.5,167.8
"ENSMUSG00000003282",0.23,0.16,0.03,0.17,0.09,0.02,0.24,0.01
"ENSMUSG00000003283",2.55,2.56,1.67,1.71,1.06,2.87,1.96,1.87
"ENSMUSG00000003299",82.64,75.61,74.36,61.61,71.38,66.08,66.84,80.62
"ENSMUSG00000003308",29.47,35.71,43.6,28.82,29.56,32.45,33.86,34.3
"ENSMUSG00000003309",0.05,0.25,0.59,0.24,0.09,0.53,0.33,0.16
"ENSMUSG00000003316",22.37,18.69,25.41,20.32,22.51,25.85,23.32,25.26
"ENSMUSG00000003341",0.07,0.02,0.02,0,0.2,0,0,0.04
"ENSMUSG00000003344",10.19,10.2,10.43,6.83,9.16,7.18,9.86,8.37
"ENSMUSG00000003345",8.38,6.29,5.82,7.57,9.2,4.48,5.64,6.55
"ENSMUSG00000003346",23.13,26.88,18.24,20.14,21.28,20.52,22.39,20.63
"ENSMUSG00000003348",5.71,5.62,6.16,5.63,5.73,6.6,7.38,6.46
"ENSMUSG00000003352",65.56,73.65,53.74,66.44,78.04,86.91,83.05,91.43
"ENSMUSG00000003354",5.05,2.52,2.49,6.9,3.45,6.32,4.15,3.86
"ENSMUSG00000003355",1.52,1.89,0.47,1,0.7,1.11,1.37,1.91
"ENSMUSG00000003360",3.15,2.59,4.31,4.9,3.87,3.96,5.5,4.55
"ENSMUSG00000003363",388.37,414.11,305.06,323.15,383.14,350.29,401.05,374.79
"ENSMUSG00000003378",4.09,5.84,3.47,3.46,2.9,3.2,3.21,2.92
"ENSMUSG00000003379",0.72,0.62,0.61,0.17,0.25,0.2,0.25,0
"ENSMUSG00000003380",292.79,240.43,207.69,208.96,251.75,196.41,216.09,226.58
"ENSMUSG00000003382",4.82,5.4,4.68,5.29,5.35,6.03,4.06,5.19
"ENSMUSG00000003402",41.9,50.17,46.19,43.69,49.19,49.22,51.92,50.42
"ENSMUSG00000003410",21.19,27.5,23.08,23.49,21.76,21.56,24.02,25.56
"ENSMUSG00000003411",90.33,64.47,144.21,88.14,66.95,77.19,44.44,84.85
"ENSMUSG00000003418",0.17,0.22,0.63,0.44,0.12,0.05,0.37,0.11
"ENSMUSG00000003420",30.85,23.37,28.99,14.24,10.31,10.91,11.67,14.3
"ENSMUSG00000003421",42.06,43.46,47.76,34.53,33.49,29,39.05,38.8
"ENSMUSG00000003423",29.18,23.43,18.16,21.05,29.13,29.84,29.7,29.97
"ENSMUSG00000003429",289.74,209.93,197.2,214.76,255.73,239.44,284.72,248.32
"ENSMUSG00000003435",41.48,49.19,54.35,48.96,43.82,47.46,53.5,55.11
"ENSMUSG00000003436",2.18,1.54,1.25,2.08,2.11,1.1,2.14,1.76
"ENSMUSG00000003437",35.48,31.71,36.56,43.83,41.25,46.15,46.46,38.27
"ENSMUSG00000003438",43.01,36.29,32.65,35.33,41.7,35.79,42.15,43.76
"ENSMUSG00000003444",26.56,18.26,21.55,15.28,23.83,19.2,22.24,22.98
"ENSMUSG00000003452",15.03,19.27,13.23,20.2,19.57,20.65,16.3,17.58
"ENSMUSG00000003458",25.72,29.72,30.27,28.36,29.84,30.75,32.21,29.09
"ENSMUSG00000003464",76.76,69.17,65.17,60.08,71.13,63.71,63.76,77.44
"ENSMUSG00000003469",163.48,178.1,263.25,177.87,189.26,150.66,216.26,158.26
"ENSMUSG00000003476",0.92,1.56,0.76,0.67,0.35,0.8,0.23,1.32
"ENSMUSG00000003477",1.46,1.87,2.85,0.83,0.62,0.76,0.8,0
"ENSMUSG00000003484",0,0.12,0,0.1,0.09,0,0,0
"ENSMUSG00000003500",26.9,25.02,36.5,25.66,27.42,26.7,23.21,27.88
"ENSMUSG00000003505",0,0,0.04,0.05,0,0,0,0
"ENSMUSG00000003518",74.67,60.15,52.62,62.91,88.4,63.26,60.02,65.37
"ENSMUSG00000003526",26.51,38.35,32.32,32.65,17.63,18.52,13.14,16.25
"ENSMUSG00000003527",11.38,14.14,15.27,10.9,15.24,14.92,15.05,13.61
"ENSMUSG00000003528",38.22,38.32,43.88,32.55,28.73,36.27,36.9,28.37
"ENSMUSG00000003531",79.42,69.17,62.31,55.62,72.67,80.73,62.8,78.84
"ENSMUSG00000003534",23.76,30.62,32.98,21.95,17.81,25.63,23.45,23.59
"ENSMUSG00000003541",9.12,6.38,12.5,5.6,7.37,4.91,6.09,3.52
"ENSMUSG00000003545",1.94,2.28,4.03,2.73,3.95,4.64,7,7.24
"ENSMUSG00000003546",12.23,13.42,13.46,10.08,11.59,10.06,12.09,12.76
"ENSMUSG00000003549",22.47,16.92,19.99,13.7,19.87,17.97,25.81,24.57
"ENSMUSG00000003555",0,0,0,0,0,0,0.04,0
"ENSMUSG00000003559",12.78,13.37,9.82,8.82,9.16,11.77,9.2,8.83
"ENSMUSG00000003573",3.65,3.12,3.96,2.7,1.2,3.53,3.17,2.35
"ENSMUSG00000003575",36.6,42.62,63.24,39.28,46.72,44.05,55.81,47.19
"ENSMUSG00000003581",10.86,9.1,6.56,7.02,3.12,9.54,5.59,7.02
"ENSMUSG00000003585",9.99,10.5,7.01,10.09,10.5,12.39,10.15,10.55
"ENSMUSG00000003604",0.33,0.51,0.5,0.47,0.65,0.5,0.35,1.17
"ENSMUSG00000003617",5.06,2.63,5.45,1.46,1.67,2.05,1.49,0.99
"ENSMUSG00000003623",22.93,27.81,18.88,20.44,13.68,19.78,10.94,16.32
"ENSMUSG00000003644",3.84,3.7,4.65,3.69,2.71,3.07,4.79,3.59
"ENSMUSG00000003657",61.09,38.28,28.67,95.55,99.19,133.47,103.44,260.96
"ENSMUSG00000003660",13.92,16.12,23.32,18.48,15.78,18.5,17.89,16.99
"ENSMUSG00000003662",35.31,29.68,35.86,25.73,33.29,29.91,26.9,31.11
"ENSMUSG00000003665",1.47,1.76,3.1,1.36,1.11,0.6,0.68,0.63
"ENSMUSG00000003680",7.09,5.84,7.65,6.07,7.88,6.67,7.19,6.79
"ENSMUSG00000003721",37.02,32.43,42.95,35.79,44.57,61.35,41.99,46.9
"ENSMUSG00000003731",10.63,9.69,11.16,11.34,10.72,15.29,12.88,10.85
"ENSMUSG00000003746",7.89,4.31,13.95,4.65,1.92,9.32,5.82,8.65
"ENSMUSG00000003752",0.45,0.83,0.64,1.23,1.08,2.27,1.92,1.09
"ENSMUSG00000003762",8.86,8.34,7.28,9.06,12.69,13.25,15.5,13.03
"ENSMUSG00000003778",16.16,17.82,21.53,20.61,16.8,17.98,19.14,19.96
"ENSMUSG00000003779",0.4,0.39,1.31,1.24,0.31,0.55,0.31,0.13
"ENSMUSG00000003808",25.07,25.75,25.52,21.42,25.92,23.95,26.52,26.75
"ENSMUSG00000003809",15.65,14.96,15.98,19.61,15.9,21.79,18.82,15.92
"ENSMUSG00000003810",5.68,6.68,6.62,8.26,7.21,7.3,7.37,6.96
"ENSMUSG00000003812",1.32,1.21,1.53,0.74,0.83,1.69,0.87,0.79
"ENSMUSG00000003813",55.16,54.87,56.09,52.09,65.98,58.09,67.35,62.95
"ENSMUSG00000003814",115.45,110.87,104.48,121.37,127.15,133.38,131.02,135.45
"ENSMUSG00000003824",4.56,2.69,1.32,2.28,3.59,4.57,4.87,6.08
"ENSMUSG00000003847",2.12,4.56,3.09,3.43,2.81,4.17,3.7,3.48
"ENSMUSG00000003848",20.61,18.22,19.92,22.66,24.2,25.6,24.04,29.24
"ENSMUSG00000003849",5.58,4.34,4.35,3.19,3.9,3.1,2.82,3.02
"ENSMUSG00000003863",16.54,20.6,17.13,19.21,17.48,23.78,22.76,18.73
